question_id,query_text,system_stage,system_answer,legal_expert_1_score,legal_expert_1_verdict,legal_expert_2_score,legal_expert_2_verdict,consensus_verdict,verifier_alignment_status
DEV_001,"What is the new section for murder under the Bharatiya Nyaya Sanhita, 2023?",Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §101] (Murder). Statutory provision: Statutory...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_002,Which section in BNS corresponds to IPC Section 420 for cheating?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §338] (Forgery for purpose of cheating). Statu...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_003,What is the equivalent section for theft (IPC 378 / 379) in the new criminal law?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §303] (Punishment for theft). Statutory provis...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_004,Where is dowry death covered in BNS 2023?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §80] (Dowry death). Statutory provision: (1) W...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_006,What is the punishment for causing death by rash driving if driver flees under BNS?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §66] (Punishment for causing death or resultin...",5.0,ACCURATE,4.5,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_007,What are the essential ingredients of rape under Section 63 of BNS 2023?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §63] (Rape). Statutory provision: A man is sai...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_008,What is the penalty for defamation under Section 356 of BNS?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §356] (Punishment for defamation). Statutory p...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_009,Can community service be awarded for petty theft of stolen property under BNS?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §2(6)] (Community service). Statutory provisio...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_013,Which section in BNS penalizes sexual intercourse by deceitful means or false promise of marriage?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §69] (Sexual intercourse by employing deceitfu...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_014,How does BNS 2023 define and penalize organised crime?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §111] (Organised crime). Statutory provision: ...",5.0,ACCURATE,4.5,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_010,What is the exact equivalent section of IPC Section 124A (Sedition) in BNS 2023?,Stage 4 (Verified),[VERIFIER REJECTION - NON-RESPONSIVE]: The cited provisions do not substantively answer the legal query intent. Non-resp...,5.0,AUTHORITATIVE_VETO,5.0,AUTHORITATIVE_VETO,AUTHORITATIVE_VETO,PERFECT_ALIGNMENT
DEV_011,Is adultery under IPC 497 punishable under the new Bharatiya Nyaya Sanhita?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §62] (Attempt to commit offences punishable wi...",5.0,AUTHORITATIVE_VETO,5.0,AUTHORITATIVE_VETO,AUTHORITATIVE_VETO,PERFECT_ALIGNMENT
DEV_012,What happened to Section 377 of IPC in BNS 2023?,Stage 4 (Verified),[VERIFIER REJECTION - NON-RESPONSIVE]: The cited provisions do not substantively answer the legal query intent. Non-resp...,5.0,AUTHORITATIVE_VETO,5.0,AUTHORITATIVE_VETO,AUTHORITATIVE_VETO,PERFECT_ALIGNMENT
DEV_016,How was IPC Section 33 (Act and Omission) re-organized in BNS 2023?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §2(1)/2(25)] (Act / Omission). Statutory provi...",4.5,AMBIGUOUS_PASS,4.5,ACCURATE,AMBIGUOUS_PASS,SUBTLE_BOUNDARY
DEV_005,Which section in IPC corresponds to Section 100 of BNS?,Stage 4 (Verified),[VERIFIER REJECTION - NON-RESPONSIVE]: The cited provisions do not substantively answer the legal query intent. Non-resp...,4.5,JUSTIFIED_REJECTION,4.5,JUSTIFIED_REJECTION,JUSTIFIED_REJECTION,PERFECT_ALIGNMENT
DEV_015,Under what section are terrorist acts defined in BNS 2023?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §113] (Terrorist act). Statutory provision: (1...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_017,What sections govern criminal conspiracy in BNS 2023 compared to IPC 120A and 120B?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §61] (Criminal conspiracy). Statutory provisio...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_018,What is the BNS section for kidnapping?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §139] (Punishment for kidnapping). Statutory p...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
DEV_019,Which section in BNS covers abduction?,Stage 4 (Verified),"Based on authoritative statutory context, this matter is governed by [BNS §138] (Abduction). Statutory provision: Statut...",5.0,ACCURATE,5.0,ACCURATE,ACCURATE,PERFECT_ALIGNMENT
